time, value
0.0,765.07568359375
0.1,-68.359375
0.2,401.458740234375
0.3,-986.02294921875
0.4,-1062.6220703125
0.5,-905.609130859375
0.6,-862.884521484375
0.7,-798.03466796875
0.8,-809.326171875
0.9,-835.5712890625
1.0,-813.90380859375
1.1,-793.15185546875
1.2,-873.260498046875
1.3,-822.44873046875
1.4,-812.835693359375
1.5,-778.656005859375
1.6,-812.225341796875
1.7,-851.898193359375
1.8,-901.641845703125
1.9,-861.968994140625
2.0,-887.451171875
2.1,-874.176025390625
2.2,-899.505615234375
2.3,-904.84619140625
2.4,-890.655517578125
2.5,-877.38037109375
2.6,-832.061767578125
2.7,-869.293212890625
2.8,-795.135498046875
2.9,-802.154541015625
3.0,-811.1572265625
3.1,-848.69384765625
3.2,28.6865234375
3.3,-9.765625
3.4,-3.96728515625
3.5,-5.4931640625
3.6,1.220703125
3.7,9.765625
3.8,-17.08984375
3.9,53.558349609375
4.0,-8.087158203125
4.1,-102.5390625
4.2,-1352.5390625
4.3,-810.24169921875
4.4,1835.9375
4.5,133.514404296875
4.6,160.369873046875
4.7,70.80078125
4.8,30.517578125
4.9,710.906982421875
5.0,881.805419921875
5.1,-2674.407958984375
5.2,-2967.071533203125
5.3,-257.568359375
5.4,619.81201171875
5.5,93.07861328125
5.6,72.021484375
5.7,69.580078125
5.8,67.596435546875
5.9,92.010498046875
6.0,41.80908203125
6.1,55.5419921875
6.2,-11.90185546875
6.3,24.10888671875
6.4,111.6943359375
6.5,27.4658203125
6.6,-1.8310546875
6.7,56.45751953125
6.8,72.93701171875
6.9,44.25048828125
7.0,54.01611328125
7.1,57.373046875
7.2,136.41357421875
7.3,147.705078125
7.4,93.536376953125
7.5,99.4873046875
7.6,108.0322265625
7.7,128.326416015625
7.8,142.2119140625
7.9,142.669677734375
8.0,134.27734375
8.1,146.78955078125
8.2,129.852294921875
8.3,220.64208984375
8.4,197.601318359375
8.5,162.506103515625
8.6,165.252685546875
8.7,184.63134765625
8.8,204.925537109375
8.9,226.74560546875
9.0,237.12158203125
9.1,238.037109375
9.2,259.09423828125
9.3,274.505615234375
9.4,293.426513671875
9.5,268.707275390625
9.6,261.23046875
9.7,276.947021484375
9.8,282.89794921875
9.9,274.200439453125
10.0,288.238525390625
10.1,301.971435546875
10.2,300.9033203125
10.3,323.028564453125
10.4,303.3447265625
10.5,304.87060546875
10.6,329.437255859375
10.7,338.287353515625
10.8,328.67431640625
10.9,339.9658203125
11.0,352.1728515625
11.1,339.66064453125
11.2,333.709716796875
11.3,338.287353515625
11.4,335.38818359375
11.5,327.7587890625
11.6,451.35498046875
11.7,400.08544921875
11.8,333.55712890625
11.9,468.292236328125
12.0,475.006103515625
12.1,468.1396484375
12.2,458.3740234375
12.3,478.057861328125
12.4,494.384765625
12.5,503.84521484375
12.6,487.97607421875
12.7,488.128662109375
12.8,496.52099609375
12.9,493.011474609375
13.0,495.147705078125
13.1,511.77978515625
13.2,498.35205078125
13.3,477.447509765625
13.4,541.68701171875
13.5,543.51806640625
13.6,532.684326171875
13.7,543.8232421875
13.8,539.55078125
13.9,589.752197265625
14.0,529.1748046875
14.1,514.373779296875
14.2,500.640869140625
14.3,512.542724609375
14.4,475.006103515625
14.5,470.123291015625
14.6,579.986572265625
14.7,413.818359375
14.8,375.213623046875
14.9,370.025634765625
15.0,380.096435546875
15.1,377.50244140625
15.2,385.43701171875
15.3,400.08544921875
15.4,412.139892578125
15.5,471.649169921875
15.6,472.71728515625
15.7,471.49658203125
15.8,477.60009765625
15.9,473.175048828125
16.0,482.940673828125
16.1,485.687255859375
16.2,486.4501953125
16.3,494.9951171875
16.4,467.071533203125
16.5,464.019775390625
16.6,486.602783203125
16.7,476.6845703125
16.8,453.948974609375
16.9,453.79638671875
17.0,470.27587890625
17.1,429.6875
17.2,407.40966796875
17.3,411.9873046875
17.4,425.10986328125
17.5,408.3251953125
17.6,402.83203125
17.7,413.665771484375
17.8,434.722900390625
17.9,569.305419921875
18.0,456.54296875
18.1,447.845458984375
