time, value
0.0,34.027099609375
0.1,7.171630859375
0.2,10.833740234375
0.3,2.13623046875
0.4,1.220703125
0.5,-0.457763671875
0.6,0.0
0.7,-9.307861328125
0.8,-10.07080078125
0.9,-31.1279296875
1.0,-27.77099609375
1.1,-18.768310546875
1.2,-15.2587890625
1.3,-15.869140625
1.4,-20.904541015625
1.5,-17.7001953125
1.6,-0.30517578125
1.7,-14.6484375
1.8,-13.427734375
1.9,-10.986328125
2.0,-13.275146484375
2.1,-12.969970703125
2.2,-13.580322265625
2.3,-12.664794921875
2.4,-12.359619140625
2.5,-12.359619140625
2.6,-11.5966796875
2.7,-11.90185546875
2.8,-12.664794921875
2.9,-11.444091796875
3.0,-10.68115234375
3.1,-10.986328125
3.2,-10.528564453125
3.3,-10.833740234375
3.4,-10.68115234375
3.5,-6.866455078125
3.6,-10.223388671875
3.7,-10.223388671875
3.8,-9.918212890625
3.9,-10.223388671875
4.0,-10.528564453125
4.1,-9.765625
4.2,-5.18798828125
4.3,0.0
4.4,0.9553912311483543
4.5,15.942225195559729
4.6,42.05772858421318
4.7,60.98784010290839
4.8,61.895391869389385
4.9,66.13934555220271
5.0,73.41126489057714
5.1,69.05953240651755
5.2,36.29637866721535
5.3,10.519169409032315
5.4,-10.71645182190315
5.5,-31.990999107419526
5.6,-53.612454549497784
5.7,-72.98956103993814
5.8,-91.34569115859443
5.9,-107.7679211074954
6.0,-133.39770616627038
6.1,-155.4201400917721
6.2,-170.7858804941381
6.3,-200.4018241746335
6.4,-203.52930195746873
6.5,-193.29311332901253
6.6,-193.34656690092262
6.7,-186.75453841682014
6.8,-191.37189005336063
6.9,-179.12447757903533
7.0,-174.58092896526418
7.1,-164.9257901536985
7.2,-149.0928270430048
7.3,-149.97205791463438
7.4,-144.6770885639378
7.5,-142.5175255279662
7.6,-138.91743420753397
7.7,-140.2871661029736
7.8,-133.0480180548737
7.9,-125.441315287323
8.0,-120.52035575429325
8.1,-104.70631930540277
8.2,-85.0197139372874
8.3,-79.46733959991562
8.4,-63.17876369904509
8.5,-64.07892938912923
8.6,-65.07931853221754
8.7,-60.68805994838152
8.8,-49.83829936443317
8.9,-38.93995801456687
9.0,-32.724459971541876
9.1,-30.430035630760926
9.2,-15.730921660213795
9.3,-11.669002338617204
9.4,-8.327150094697856
9.5,-0.6710230605521019
9.6,-2.892327452007166
9.7,8.353877098602872
9.8,9.26289761621814
9.9,24.858190372372526
10.0,26.75747356779309
10.1,34.18591034228035
10.2,34.93558086150421
10.3,41.975589183484864
10.4,49.81192599816138
10.5,54.781657552209445
10.6,50.01752474315315
10.7,53.52411449182347
10.8,59.349734252224806
10.9,61.23753458037769
11.0,63.91701257433938
11.1,66.31934345073557
11.2,64.47655002314417
11.3,69.0691096914289
11.4,70.94109073862741
11.5,79.55230035700521
11.6,84.67872369989314
11.7,85.40422270905788
11.8,88.44206893611035
11.9,92.113214654589
12.0,97.18003273123486
12.1,98.60657017810667
12.2,99.29145796343946
12.3,91.75736379978109
12.4,93.3987945498208
12.5,83.31070918720472
